english	manx_translations
Aughton's Farm	Balley Aughton
Auld Lang Syne	Shenn Seihll Braew
Auldyn Meadow Drive	Imman Lheeannee Auldyn
Aurora Australis	lossan y jiass
Aurora Borealis	lossan y twoaie; Lossan y Twoaie
auspicious wind	raahoil
Australian holly	cullyn Frangagh; cullyn meein
Austrian pine	juys Austeragh; juys doo
authorised examiner	scruteyder oikoil
autographical ink	doo autograafagh
autographical letter	screeuyn ayns laue hene
autonomous verb	seyr-vreear; breear seyr
autumn equinox	cormid traa fouyir
autumn hawkbit	croag phartan
ave bell	clag yn ainle
awareness campaign	troddan-twoaieaght
axial tilt	cleaney essylagh
axis of rotation	essylys chyndaaee
axis of symmetry	essylys shimeadraght
Ayres National Nature Reserve	Kemmyrk Nadoor Ashoonagh ny h-Ayrey
azimuth compass	combaase assamad
azure spar	clagh ghorrym-ghlass
Babbitt metal	meain Vabbit
Baby Accessories	Stoo Babban
baby changing facilities	ynnyd caghlaa pagganyn
baby's bottle	boteil yiole
baby sitter	arreyder paitchey
back bacon	bagoon-drommey
back elevation	jalloo cooyl
backhand blow	builley cooyl
back pedal	cass ny trieaneyn er-ash
backstair influence	fockle 'sy chooyrt
bacterial conjugation	co-whingaghey bacteyragh
badger's den	brockagh
bad mannered	drogh-ellynagh
bad-tempered person	niuniag
Bahee's Lakelet	Loughan Vahee
Baikal teal	laaghag Vaikalagh
Baillion's crake	eean raip beg; Baillon
s crake	eean raip Baillon
s sandpiper	leayrane baird
Ballabrooie Avenue	Astyl Balley Brooie
Ballabrooie Drive	Imman Balley Brooie
Ballabrooie Gardens	Garaghyn Balley Brooie
Ballabrooie Grove	Keyll Balley Brooie
Ballabrooie Park	Pairk Balley Brooie
Ballabrooie Way	Bayr Balley Brooie
Ballacottier Crescent	Corran Balley Cottier
Ballacregga Waterwheel	Queeyl Ushtey Valley Creggey
Ballafesson Road	Raad Balley Phesson
Ballagale Avenue	Astyl Balley Gale
Ballagawne Road	Raad Balley Gawne
Ballagawne Service Reservoir	Doour Hirveish Valley Gawne
Ballakermeen Avenue	Astyl Balley Kermeen
Ballakermeen Close	Close Balley Kermeen
Ballakermeen Drive	Imman Balley Kermeen
Ballakermeen High School	Scoill Ard Vallakermeen
Ballakermeen Road	Raad Balley Kermeen
Ballakilley Lane	Lhoan Valley Killey
Ballakilley Meadows	Lheeantyn Balley Killey
Ballakilley Road	Raad Valley Killey
Ballaleigh Road	Bayr Balley Leigh
Ballaquayle Road	Bayr Valley 'c Phaayl
Ballaughton Close	Close Ballaughton
Ballaughton Gardens	Garaghyn Ballaughton
Ballaughton Lane	Lhoan Ballaughton
Ballaughton Manor Hill	Cronkan Mannor Ballaughton
Ballaughton Meadows	Lheeantyn Ballaughton
Ballaughton Villas	Villaghyn Ballaughton
Ballavale Road	Raad Balley Vale
ballet dancer	daunseyr ballay
Ballig Bridge	Droghad Vallig
ballistic missile	orraghey ballistagh
balloon tyre	boyn bog; crou vog
ball-peen hammer	oard cruggagh
ballpoint pen	penn grine-virragh
ball valve	cooylley vluckan
bamboo rat	roddan cuirtlagh
band clutch	craag voandey
band over a horse's back	dromag
band pulley	ullag voandey
bandy leg	camlurgey; lurgey cham
banging post	lieckan
bank depositor	tashteyder banc
Banker's Flat	Banker's Naaie
bank facilities	seyraaidyn-bank
bank loans	eeasaghtyn-banc
Bank of Bellowing	Broogh Shirrees
barbed wire	streng wheddyragh
barbeque oven	brebag
bareback rider	skibbyltagh-cabbyl
barge board	claare mullee
barge in	bwoalley stiagh
barnacle goose	guiy bayrnag
Barn Enclosure	Close y Toalt
barnyard cock	kellagh ny giark
barnyard fowls	eeanlee y thurran
barrack room	shamyr hidooragh
barrackroom language	glare gharroo; glare hidooragh
Barrack Street	Straid y Varrick
barrel vault	sellar cruin
Barron's Farm	Balley Varron
Barron's Lake	Lough y Varron
Barron's Quarter	Kerroo Barron
s goldeneye	thunnag sooill-airhey Barrow
Barry's Farm	Balley Varry
bar-tailed godwit	feddag hraie; gob-kiare mooar
basal cover	bun-vrat
basket hilt	doarn bascaidagh
basking shark	sharkagh greiney; sharkagh souree
basking sharks	sharkee houree
bathing trunks	breechyn faarkee
Bathurst Street	Straid Bathurst
battle frenzy	merre chaggee
Bay of Biscay	Baie ny Biscaayn; Baie ny Spaainey
bayonet joint	olt cliwe-gunney
Bayr Cam	Bayr Cam
beaded edge	oirr beedit; oirr lieh runt
beaded with sweat	bineenagh
beaked hawksbeard	lus ny shirree
beanplant louse	meeyl phoanrey
bearing brasses	prashyn ymmyrkane
Beasts' Farm	Jurby
Beatific Vision	Reayrt y Trinaid
beauty unadorned	aalid dooghyssagh
beaver hat	edd beaver
become smelly	breinnaghey
becoming overcast	bodjalley; curthooillaghey
bedrock price	leagh s'inshley
bed tick	carthan lhiabbagh
Beechwood Rise	Dreeym Keyll Faih
beef extract	soo foalley
Bee's Glen	Glion Shellan
belaying pin	jialg chianglee
al Feirste	Beeal Feirshtey
Belisha beacon	cowrey croshvollagh
bell ringer	kiaullaneyder
Bell's Close	Close Vell
Bell's Croft	Croit Bell
Bell's Farm	Balley Vell
Belmont Hill	Cronkan Belmont
Belmont Lane	Lhoan Belmont
Belmont Road	Raad Belmont
Belmont Terrace	Strane Belmont
below zero	fo neunhee
belted earl	eaarley cummaghtagh
belted kingfisher	eeasteyr cryssagh
bench lathe	deill binkey
bendy bus	barroose lhoobagh
Bengal lights	chenney chrowree
Ben Nevis	Beinn Nivish
Berane's Farm	Balley Verane
Bering Sea	Mooir Bering
Bess' Croft	Croit Vess
Bessy's Croft	Croit Vessy
betel nut	cro beetyl
bete noir	ard-ghwoaieid; buggane
Between Two Turbaries	Eddyr Ghaa Woanee
bevel edge	foyr bevyllit
bevel gear	gear bevyllit
bevel rule	reilleyder bevyl
bevel wheel	queeyl vevyllit
beyond our ken	harrish yn oayllys ain
bicycle pump	chionneyder builg
Big Brushwood	Lhen Mooar
Big Buggane's Castle	Cashtal y Vuggane Mooar
Big Enclosure	Close Mooar
Big Enclosure Croft	Croit Close Mooar
Big Enclosure Glen	Glion y Close Mooar
Big Enclosure Meadow	Lheannee Close Mooar
Big Ferny Place	Rhenniagh Vooar
Big Fold Enclosure	Close Bwoaillee Vooar
Big Gorsy Enclosure	Close Mooar y Chonnee
Big Gorsy Place	Aittin Wooar; Aittin Mooar
Big Homestead	Balley Mooar
Big Javelins	Mannisyn Mooarey
Big Lakelet	Loughan Vooar
Big McSkelly's Quarter	Kerroo Skaly Vooar
Big Ned's Croft	Croit Ned Mooar
Big Pool Shieling	Eary Phoyll Wooar
Big Rob's Croft	Croit Rob Vooar
Big Shrubbery	Garee Vooar; Garee Mooar
Big Shrubbery Field	Giat y Gharee Vooar
Big Shrubbery Flat	Faaie yn Gharee Mooar
Big Swamp	Laagagh Mooar
Big Tom Robert's Croft	Croit Thom Rob Vooar
Big Tom's Croft	Croit Hom Mooar
Big Turbary	Moaney Mooar; Moanee Mooar
Big White Ferny Place	Rhennee Vane Vooar
bilge pump	teaumane ushtey rummey
bilge water	ushtey rummee
bilious complaint	gorley aane
bill broker	delleyder billaghyn
Bill Gawne's Gate	Giat Bill Gawne
Bill Gawne's Road	Giat Bill Gawne
billiard cloth	eaddagh billiard
billiard cue	maidjey billiard
billiard room	shamyr villiard
billiard table	boayrd billiard
Bill Nick's Land	Towl Bill Nick
bill of divorcement	screeuyn-scarree; Bible
Bill Tom's Rock	Creg Bill Hom
Billy Bill's White Rock	Creg Bane y Bill Villy
bimaculated lark	ushag chalandra y niar
binary star	rollage chyndaaee
biological stain	cron bea-oaylleeagh
bipolar bond	nastey daa-phoullagh
bird fancier	eeaneyr
bird observatory	reayrtlann; eeanlee
bird's-eye primrose	sumark slieau
bird's-eye view	reayrt eeanlee
bird's-foot trefoil	crouw cheyt Rangagh; crouw chiyt; crouw chiyt Rangagh
Birkin's Bend	Lhoob Birkin
birth certificate	screeuyn ruggyree
bishop's cape	breid aspickagh
Bishop's Court	Cooyrt yn Aspick; Quaiyl yn Aspick
Bishop's Croft	Croit yn Aspick
bishop's crozier	baghyl
Bishop's Farm	Balley Aspick
Bishop's Marsh	Curragh Aspick
Bishop's Mill	Mwyllin Aspick
Bishop's mitre	crooin Aspickagh
bishop's palace	thie yn aspick
Bishop's Shrubbery	Garee Aspick
Bishop's visitation	keayrt vooar
bishop's weed	lus y ghoot; lus yn aspick
bitter vetch	crammelt
black bearberry	grineag ghoo
black bentgrass	shaslagh ghoo
black-billed cuckoo	cooag ghob-doo
black bryony	mandrag ghoo
Blackburnian warbler	kiaulleyder Blackburne
black-coated workers	lught ny h-oikyn
black-eared wheatear	thoyn-vane chleaysh-ghoo
Blackfords Pre TT Classic Races	Ratchyn Classicagh Ro-TT Blackford
Black Gulley	Lhoob Doo
Black Hill Enclosure	Close Sartfell
black-legged cattle	maase doo-chassagh
Black Maria	carr yn phrysoon; van ny meoiryn shee; van y phrysoon
black marketeer	delleyder 'sy vergey doo
black-necked grebe	eean Bretnagh; greeb doo
black nightshade	croanreisht ghoo
black pea	pishyr ghoo
blackpoll warbler	kiaulleyder doo-eddinagh
black poplar	pobbyl doo
Black Quarter Enclosure	Close y Kerroo Doo
black rock-lichen	dooid ny greg
black sea bream	carroo doo
black sedge	shiast doo
Black's Farm	Balley Black
Black Shieling	Block Eary
Black Shrubbery	Garee Doo
Blacksmith's Croft	Croit y Gaaue
Blacksmith's Enclosure	Close y Gaaue
black spleenwort	doo-chassagh
black-tailed godwit	gob-kiare famman-doo
black tern	gant doo; sternag ghoo
Blackthorn Farm	Balley Drine
Blackthorn Marsh	Curragh Bugogue
Blackthorn Meadow	Lheannee Bugogue
black-throated diver	thummeyder staghyllagh; thunnag ny scoarnagh doo; lhargey ghoo
Black Trench Bleach End	Clash Doo Kione Thoar
black-winged pratincole	pratincoyl skian-doo
black-winged stilt	lurgagh
bladder campion	lus y lhemeen; lus y lhemyn
Blaeberry Gorge	Cluggid Blaeba
blaeberry mountains	sleityn freoghaneagh
Blaeberry River	Awin Blaber
blank cartridge	cartoose kyagh
Blasket Islands	Blascaaidee
Bleach Green Farm	Balley yn Toar
Bleach Green Field	Magher Thoar
Bleach Green Road	Bayr Thoar
bleaching field	thoar
Bleaching Glen	Glion Thoar
Bleaching Green Croft	Toar ny Croit
bleaching material	stoo giallee
bleaching powder	poodyr-giallee
bleaching water	ushtey giallee
blindfold person	doalan
blindman's buff	farkan cooyl doalan; farkan doallan
blithering idiot	donnan mooar
blockade runner	roieder chemmaltys
blockade running	brishey chemmaltys
blood clot	glubbey folley
blood corpuscles	corpeen folley
blood plasma	plasmey folley
blood transfusion	tessen-chaghlaa folley
blotting pad	kiappag sooee
blubber lip	beill-vooar
blubber of jellyfish	smug
blue-cheeked bee-eater	eeder shellan lieckan-gorrym
blue shark	sharkagh gorrym
blue-tailed damselfly	snaid-veg gorrym-fammanagh
blue titmouse	Jinnee ghorrym; kione gorrym
blur vision	jannoo dullyr
boarding card	kaart-chlaare
boarding house	thie aaght; boarding
boarding school	scoill aaght; scoill oastys
board of directors	boayrd ny stiureyderyn; oik ny stiureyderyn
Boar's Head	Kione y Chollagh Vuc
boating event	immeeaght-vaateyrys
Boddan's Farm	Balley Voddan
body politic	stait
bog asphodel	lus Cholumb Keeilley
bog pimernell	follagher curree
boll weevil	crooag chadee
bolting house	thie caih; thie creearree
bombing campaign	faghtys-bleaystan
bona fide	dy feer; dy hynrick
bona fides	jeih-aigney feerid; Bonaparte
bon mot	fockle traaoil
booking clerk	cleragh tiggad
booking office	oik tiggad
book marker	gah lioaragh
book muslin	muslyn lioaragh
book of many volumes	yl-lioar
book review	barel lioaragh
boom of thunder	rooital
boon companion	sheer-heshey; sheshey mie
boot blacking	dooaght vraag
bootlace weed	drumlagh
Borwan's Farm	Balley Varvane
Boshen's Pasture	Pairk y Voshen
botanic gardens	garey lossreeyn
bottled nose dolphin	perkin mooar-troinagh
bottled up	follit
bottling machine	jeshaght voteilagh
bouncing Bess	lus y cheeabin
bouncing bet	lus y cheeabin
Boundary Review Committee	Bing-scrutee Joaraghyn
bow compasses	combaaseyn lheimaghan
bower anchor	aker hoshee
bowie knife	skynn helg
bow thruster	seiyder-toshiaght
box camera	shamraig chistey
boxer dog	bocseyr
box pleat	claight dooblit
box spanner	spanney dooint
Boyd's Croft	Croit Boddagh
Boyle's Fold	Boayl Voyle
Boy's Brigade	Brigaid ny Guillyn
braaivleis oven	brebag
Braille type	clou Vraaile
brain's trust	skimmee oayllagh
brake pedal	coshal ghlackan
Bramble Brae	Broogh y Dress
brambly hedgerow	cleigh dressagh
branched burr-reed	shiast y ree
branching road	fo-vayr
brazen browed	oaie-daaney
Brazil nut	cro Brasillagh
bread crumb	coodaghey lesh kinneigyn
Breaga's Church	Keeill Breaga
Breaga's Church Enclosure	Close Keeill Breaga
Breagle Glen	Glion Breagle
Breastfeeding Act	Slattys Beaghey Kee
breeding stud	grih
Brent goose	guiy doo
breve accent	slattag yiare
brevet rank	graaid onnoragh; ooashlid onnoragh
brewer's grains	drou; drow
Brewery Beach	Traie yn Thie Imbyl
Brew's Farm	Balley Vrew
Brew's Hill	Knock y Vrew
Brew's Meadow	Lheannee Vrew
bridal veil	breid phoosee
bride and groom	cubbyl noa-phoost
bride's cake	berreen vanshey
Bridge Enclosure	Close y Droghad
Bridget's Church Shrubbery	Garee Keeill Vreeshey
bridled tern	sternag speckleyragh
Bridson's Farm	Balley Bridson
brigadier general	ard-vrigaidagh
Bright Rift	Skinscoe
brimful of health	cha follan as mwaagh
brimless cap	bonnad
British Airways	Raaidyn-Aer Goaldagh; Lhuingys-aer Goaldagh
British citizenship	seyraanaght Ghoaldagh
British Colonialism	Coloinaghys Goaldagh
British-Irish Council	Coonceil Ghoaldagh-Yernagh
British-Irish Parliamentary Assembly	Cruinnaght Ard-whaiyllagh Goaldagh-Yernagh
British Thermal Unit	unnid-hiass goaldagh
broadband connection and speeds	kianglaghyn as bieauidyn boandey lhean
broadband connection speeds	kianglaghyn as bieauid yn boandey lhean
broad-billed sandpiper	leayrane gob-lhean
broad bottomed	lhean-thoynagh
broad chested	lhean-chleeauagh
broad consonants	corocklyn Ihean
Broad Garth	Bregar
broad-leaved dock	cabbag lhean
broad-leaved pondweed	dullish far-ushtey; dullish ny hawin; lus ny lhingey
broad-leaved ragwort	bossan mollagh mooar; cuishag vollagh
Broad Shieling	Eary Lhean
Broadway Baptist Church	Keeill Vashtagh Broadway
Broadway Baptist Church Act	Slattys Keeill Vashtagh Broadway
broiler house	thie kirkey
Bromet Road	Raad Bromet
Brompton stock	blaa yn 'Eaill Eoin
bronzed skin	crackan dhone
broody hen	kiark ghuirragh
Brown Berree's Pool	Lhing Berree Dhone
Brown Jimmy's Gully	Gullad Jemmy Dhone
Brown's Croft	Croit Vrown
brown seaweeds	famleeyn dhoan
Brown's Flat	Faaie Vrown
brown thrasher	bwoalleyder breck
Brushwood Dale	Cardell
Brushwood Hill	Cronk Killane
Brushwood Land	Killane
Brushwood Slope	Cor Breck
brushy tail	famman critlagh
Brusi's Farm	Brystone
Brusi's Shieling	Bryseth
Brussel sprouts	buinnaghyn Brussyl
Brussels sprouts	gobbaghyn Belgagh
bubble car	gleashtan bolganagh
bubble over	cloie harrish
bubble up	geill
bubonic plague	phlaih fairaigagh
bucket seat	soiag varril
buckling to	lhie rish yn obbyr
Buck's Road	Raad Buck
buckthorn berry	bugogue
buff-breasted sandpiper	leayrane cleeau ghone-buigh
buffer state	stait eddyraneagh
buffing wheel	queeyl ghloassee
Buggane's Rock	Creg y Vuggane
Buggane's Rock Hole	Towl Creg y Vuggane
building aggregate	shillee
building contractor	troggeyder
building sites	ynnydyn-troggal
bulbous-rooted tangle	scroagh cassey
Bulgham Bay	Baie yn Volgan
bulging eyed	bolg-hooillagh
bull's eye	fainey sthie; sooill ghlenney; sooill terriu
bull's eye lantern	londeyr sooilley
bull's-eye window	uinnag chruinn; uinnag volganagh
bull terrier	brockeyr terriu
Bully's River	Awin Bully
s petrel	kirree varrey Bulwer
bumper car	carr-donkal
bumper crop	troar vooar
bundle of osiers	corrag; cuirrag; currag
bung hole	beeal mullag; towl bong
Burkina Faso	Burkina Faso
Burnt Shrubbery	Garee Losht
burr 'R'	scoarnee
bus depot	garreish bus
bus drivers' union	sheshaght-cheirdey ny h-immanee-varroose
Bushell's Croft	Croit ny Bushell
Bushel's Field	Magher Vushel
bush vetch	pishyr ny gabbil
business directory	lioar-enmey dellal
bustling about	foostyral mygeayrt; goll er mullagh ching; siyraghey
butcher's broom	lus ny gaulg
butler's pantry	cuillee vutleyragh
buttock meat	curpagh; feill cheasee
buttonhole stitch	greim lhoobag
buzz about	jannoo skianys mygeayrt
buzz off	fow roish; goll roish
Byllinge's Farm	Balley Wyllin
by me	liorym; Rachel died by me in the land of Canaan/; lioryms
by rotation	rere shayllyn
Bytchell's Farm	Balley Vytchell
by us	liorin; liorinyn
by way of illustration	myr sampleyr
cabbage lettuce	glassan garroo; glassan mooar; glasseyr mooar
cabinet maker	cabnaidagh
Cabinet minister	arrey reiltys
Cabinet Office	Oik Coonceil ny Shirveishee
cable-laid rope	tead caabylchast
cacao bean	sheel coco
cacao tree	billey coco
cadaverous look	daah yn vaaish
cadaverous person	fer shang
Caine's Bridge	Droghad y Caine
Caine's Croft	Croit y Caine
Caine's Lake	Lough Caine
Caine's Mill	Mwyllin y Caine
Cain's Big Farm	Balley Cain Mooar
Cain's Croft	Croit y Cain
Cain's Farm	Balley Cain
Cain's Field	Magher Cain
Cain's Fold	Bwoaillee Cain
Cain's Hunting Place	Shughlaig y Cain
Cairbre's Farm	Balley Cairbre
Cairn of the Gorge	Carn y Vreid
Caiskell's Waste	Reeast y Caiskell
Caistill's Croft	Croit y Caistill
calandra lark	ushag chalandra
Caley's Croft	Croit y Caley
Caley's Farm	Balley Caley
Caley's Farm Enclosure	Close Balley Caley
Calf Island Enclosure	Close ny Colloo
calf's-foot jelly	gleiy crub lheiyee
Callane's Church	Keeill Callan
Callan's Girl's Croft	Croit Inney Challan
Callin's Croft	Croit y Callin
Callin's Farm	Balley Callin
Callin's Glen	Glion Callin
Callin's Hill	Cronk Callin
Callin's Land	Thalloo Callin
Callin's Point	Gob ny Callin
Callin's Sheep Pen	Croa Callin
calliper compasses	combaaseyn cam
Callow's Croft	Croit Callow
Callow's Enclosure	Close y Callow
Callow's Farm	Balley Callow
Callow's Island	Ellan y Callow
Callow's Lake	Lough y Callow
Callow's Yard	Close Challow
Calves' Height	Ard ny Lheiy
Calves' Pasture	Pairk ny Lheiy
Camaish's Croft	Croit y Camaish
Camaish's Farm	Balley Camaish
Camaish's Garden	Garey Chamaish
Camaish's Gardens	Garaghyn Chamaish
Camaish's Land	Thalloo Camaish
Camaish's Quarter	Kerroo Chamaish
camera obscura	shamyr ghorraghey
camomile tea	tey camomile
Campbell's Bridge	Droghad Campell
Campion Way	Bayr Blaa ny Ferrishyn
canary seed	grine canaaree; rass canaaree
canary yellow	feer-wuigh
Cancer Services User Forum	Forym Ymmydeyryn Shirveishyn Kahngyr
candied peel	speeineig villish
candy floss	shugyr-sneeuit
canine tooth	birrag
Cannell's Enclosure	Close y Cannell
Cannell's Farm	Balley Cannell
Cannell's Glen	Glion Cannell
Canterbury bell	claggan
cant expression	dooyrtiman
cant phrase	lieh-ockle
capitation basis	rere king
capitation grant	toyrtys ching
capped petrel	kirree varrey bayrn-doo
capstan lathe	deill toghyragh
Captain's Enclosure	Close y Captan
Ir. gluaiste	carr; cayr; sleod
caraway seeds	sheel carvish
carbonic acid	geayr carboanagh; sharroo carboanagh; soorid geayl
carborundum stone	clagh charbrym
Cardle Fold	Bwoaillee Cardle
Caribbean Sea	Vooir Charibagh
